"time","throughput"
"1","1895"
"2","4118"
"3","4323"
"4","4230"
"5","4257"
"6","4550"
"7","4550"
"8","4696"
"9","4512"
"10","3616"
"11","4046"
"12","4233"
"13","4350"
"14","4020"
"15","4299"
"16","4691"
"17","4843"
"18","4868"
"19","4594"
"20","4676"
"21","4995"
"22","4834"
"23","4445"
"24","4728"
"25","4493"
"26","4641"
"27","4686"
"28","4713"
"29","4518"
"30","4182"
"31","4389"
"32","3854"
"33","4012"
"34","4359"
"35","4605"
"36","4105"
"37","3984"
"38","3842"
"39","4305"
"40","4321"
"41","4324"
"42","4144"
"43","4414"
"44","4511"
"45","3664"
"46","4411"
"47","4615"
"48","4671"
"49","4417"
"50","3754"
"51","4030"
"52","4418"
"53","4431"
"54","4033"
"55","4116"
"56","4476"
"57","3734"
"58","4576"
"59","4365"
"60","4281"
"61","4261"
"62","4079"
"63","4747"
"64","4688"
"65","4631"
"66","4697"
"67","4349"
"68","4015"
"69","4717"
"70","4270"
"71","4337"
"72","3930"
"73","4550"
"74","4448"
"75","4515"
"76","4309"
"77","4593"
"78","4206"
"79","4691"
"80","4665"
"81","4447"
"82","4675"
"83","4365"
"84","4618"
"85","4386"
"86","4056"
"87","4217"
"88","4386"
"89","4604"
"90","4172"
"91","4608"
"92","4218"
"93","4371"
"94","4380"
"95","4103"
"96","4113"
"97","3969"
"98","3837"
"99","3765"
"100","4024"
"101","3638"
"102","4110"
"103","4071"
"104","4285"
"105","4165"
"106","4427"
"107","3984"
"108","4391"
"109","4233"
"110","4159"
"111","4140"
"112","3153"
"113","4218"
"114","4003"
"115","4398"
"116","4537"
